Date,Clics,Impressions,Conversions,Coût
2024-02-13,66,539,2.0,44.11
2024-02-14,76,675,16.61,51.04
2024-02-15,72,601,7.3,50.89
2024-02-16,77,755,7.56,51.56
2024-02-17,70,735,0.0,50.23
2024-02-18,79,642,12.1,55.69
2024-02-19,72,722,5.47,50.84
2024-02-20,75,560,1.0,51.06
2024-02-21,79,471,2.0,50.91
2024-02-22,90,853,19.03,54.34
2024-02-23,82,666,6.0,47.13
2024-02-24,90,621,3.0,51.07
2024-02-25,87,599,7.0,48.05
2024-02-26,84,717,11.02,50.07
2024-02-27,80,760,16.98,43.51
2024-02-28,85,624,15.29,46.54
2024-02-29,85,571,17.27,50.43
2024-03-01,86,524,9.98,50.28
2024-03-02,94,834,9.26,51.84
2024-03-03,95,602,19.51,51.65
2024-03-04,97,645,23.0,51.98
2024-03-05,98,726,9.23,49.9
2024-03-06,100,771,5.08,50.3
2024-03-07,55,369,2.0,29.16
