Jour,Heure de début,Impressions
Dimanche,00 h,71
Dimanche,01 h,43
Dimanche,02 h,45
Dimanche,03 h,14
Dimanche,04 h,9
Dimanche,05 h,5
Dimanche,06 h,22
Dimanche,07 h,31
Dimanche,08 h,65
Dimanche,09 h,107
Dimanche,10 h,112
Dimanche,11 h,151
Dimanche,12 h,125
Dimanche,13 h,124
Dimanche,14 h,96
Dimanche,15 h,110
Dimanche,16 h,115
Dimanche,17 h,120
Dimanche,18 h,135
Dimanche,19 h,116
Dimanche,20 h,105
Dimanche,21 h,88
Dimanche,22 h,24
Dimanche,23 h,10
Lundi,00 h,51
Lundi,01 h,52
Lundi,02 h,25
Lundi,03 h,29
Lundi,04 h,19
Lundi,05 h,16
Lundi,06 h,18
Lundi,07 h,49
Lundi,08 h,70
Lundi,09 h,107
Lundi,10 h,118
Lundi,11 h,114
Lundi,12 h,157
Lundi,13 h,149
Lundi,14 h,170
Lundi,15 h,123
Lundi,16 h,131
Lundi,17 h,119
Lundi,18 h,168
Lundi,19 h,151
Lundi,20 h,120
Lundi,21 h,87
Lundi,22 h,40
Lundi,23 h,1
Mardi,00 h,48
Mardi,01 h,23
Mardi,02 h,12
Mardi,03 h,15
Mardi,04 h,7
Mardi,05 h,10
Mardi,06 h,13
Mardi,07 h,36
Mardi,08 h,46
Mardi,09 h,89
Mardi,10 h,89
Mardi,11 h,113
Mardi,12 h,128
Mardi,13 h,136
Mardi,14 h,142
Mardi,15 h,211
Mardi,16 h,267
Mardi,17 h,219
Mardi,18 h,273
Mardi,19 h,228
Mardi,20 h,260
Mardi,21 h,121
Mardi,22 h,59
Mardi,23 h,40
Mercredi,00 h,88
Mercredi,01 h,57
Mercredi,02 h,23
Mercredi,03 h,21
Mercredi,04 h,15
Mercredi,05 h,31
Mercredi,06 h,43
Mercredi,07 h,54
Mercredi,08 h,93
Mercredi,09 h,150
Mercredi,10 h,133
Mercredi,11 h,165
Mercredi,12 h,150
Mercredi,13 h,206
Mercredi,14 h,194
Mercredi,15 h,194
Mercredi,16 h,208
Mercredi,17 h,177
Mercredi,18 h,140
Mercredi,19 h,155
Mercredi,20 h,119
Mercredi,21 h,89
Mercredi,22 h,22
Mercredi,23 h,14
Jeudi,00 h,67
Jeudi,01 h,44
Jeudi,02 h,33
Jeudi,03 h,24
Jeudi,04 h,20
Jeudi,05 h,24
Jeudi,06 h,45
Jeudi,07 h,81
Jeudi,08 h,124
Jeudi,09 h,203
Jeudi,10 h,195
Jeudi,11 h,219
Jeudi,12 h,159
Jeudi,13 h,112
Jeudi,14 h,137
Jeudi,15 h,111
Jeudi,16 h,89
Jeudi,17 h,121
Jeudi,18 h,124
Jeudi,19 h,137
Jeudi,20 h,120
Jeudi,21 h,131
Jeudi,22 h,70
Jeudi,23 h,4
Vendredi,00 h,73
Vendredi,01 h,43
Vendredi,02 h,41
Vendredi,03 h,14
Vendredi,04 h,13
Vendredi,05 h,17
Vendredi,06 h,49
Vendredi,07 h,54
Vendredi,08 h,86
Vendredi,09 h,110
Vendredi,10 h,128
Vendredi,11 h,132
Vendredi,12 h,128
Vendredi,13 h,140
Vendredi,14 h,110
Vendredi,15 h,85
Vendredi,16 h,114
Vendredi,17 h,147
Vendredi,18 h,119
Vendredi,19 h,112
Vendredi,20 h,88
Vendredi,21 h,65
Vendredi,22 h,46
Vendredi,23 h,31
Samedi,00 h,73
Samedi,01 h,37
Samedi,02 h,30
Samedi,03 h,21
Samedi,04 h,12
Samedi,05 h,20
Samedi,06 h,29
Samedi,07 h,53
Samedi,08 h,83
Samedi,09 h,128
Samedi,10 h,149
Samedi,11 h,121
Samedi,12 h,152
Samedi,13 h,147
Samedi,14 h,153
Samedi,15 h,159
Samedi,16 h,163
Samedi,17 h,142
Samedi,18 h,182
Samedi,19 h,134
Samedi,20 h,108
Samedi,21 h,57
Samedi,22 h,30
Samedi,23 h,7
